version,video,cfg,frame,bd-rate
8x4--2,BasketballDrive,AI,-1,-0.07901795362448283
8x4--2,BasketballPass,AI,-1,-0.044802996356718694
8x4--2,BQMall,AI,-1,0.0577020658418137
8x4--2,Campfire,AI,-1,0.04432993893674908
8x4--2,FoodMarket4,AI,-1,-0.03153617239006756
8x4--2,FourPeople,AI,-1,0.04893396545380124
8x4--2,Johnny,AI,-1,0.1523518997073703
8x4--2,RaceHorses,AI,-1,0.08128148656036949
8x4--2,RaceHorses2,AI,-1,0.08128148656036949
8x4--2,RitualDance,AI,-1,0.08549572338270028
Precise,BasketballDrive,AI,-1,0.0
Precise,BasketballPass,AI,-1,0.0
Precise,BQMall,AI,-1,0.0
Precise,Campfire,AI,-1,0.0
Precise,FoodMarket4,AI,-1,0.0
Precise,FourPeople,AI,-1,0.0
Precise,Johnny,AI,-1,0.0
Precise,RaceHorses,AI,-1,0.0
Precise,RaceHorses2,AI,-1,0.0
Precise,RitualDance,AI,-1,0.0
