,time,cum_sec,self_sec,calls,self_s_call,tot_s_call,namespace,class,function,definition
101,0.17,455.18,0.9,3193521.0,0.0,0.0,,Reshape,calculateChromaAdjVpduNei,"Reshape::calculateChromaAdjVpduNei(TransformUnit&, CompArea const&)"
102,0.17,456.07,0.89,53370256.0,0.0,0.0,,CodingStructure,clearPUs,CodingStructure::clearPUs()
103,0.17,456.95,0.88,295285412.0,0.0,0.0,,CodingStructure,isDecomp,"CodingStructure::isDecomp(Position const&, ChannelType) const"
104,0.16,457.81,0.86,28469788.0,0.0,0.0,,TrQuant,invTransformNxN,"TrQuant::invTransformNxN(TransformUnit&, ComponentID const&, AreaBuf<short>&, QpParam const&)"
105,0.16,458.65,0.84,504802.0,0.0,0.0,,EncCu,xCheckModeSplit,"EncCu::xCheckModeSplit(CodingStructure*&, CodingStructure*&, Partitioner&, EncTestMode const&, ModeType, bool&)"
106,0.16,459.49,0.84,35994717.0,0.0,0.0,,CABACWriter,ts_flag,"CABACWriter::ts_flag(TransformUnit const&, ComponentID)"
107,0.16,460.31,0.82,57576723.0,0.0,0.0,,PU,getIntraMPMs,"PU::getIntraMPMs(PredictionUnit const&, unsigned int*, ChannelType const&)"
108,0.15,461.1,0.79,7170580.0,0.0,0.0,,TrQuant,xTransformSkip,"TrQuant::xTransformSkip(TransformUnit const&, ComponentID const&, AreaBuf<short const> const&, int*)"
109,0.15,461.88,0.78,1767229.0,0.0,0.0,,,fastForwardDST7_B16,"fastForwardDST7_B16(int const*, int*, int, int, int, int)"
110,0.15,462.64,0.76,4017056.0,0.0,0.0,,IntraPrediction,xGetLMParameters,"IntraPrediction::xGetLMParameters(PredictionUnit const&, ComponentID, CompArea const&, int&, int&, int&)"
111,0.15,463.4,0.76,117140350.0,0.0,0.0,,CodingStructure,getPredBuf,CodingStructure::getPredBuf(CompArea const&)
112,0.15,464.16,0.76,39247171.0,0.0,0.0,,QpParam,QpParam,"QpParam::QpParam(int, ComponentID, int, int, int, ChromaFormat, int, SPS const*, bool)"
113,0.14,464.91,0.75,538251.0,0.0,0.0,,IntraSearch,estIntraPredChromaQT,"IntraSearch::estIntraPredChromaQT(CodingUnit&, Partitioner&, double)"
114,0.14,465.66,0.75,23792683.0,0.0,0.0,,IntraSearch,xEncSubdivCbfQT,"IntraSearch::xEncSubdivCbfQT(CodingStructure&, Partitioner&, bool const&, bool const&, int, PartSplit)"
115,0.14,466.41,0.75,54790474.0,0.0,0.0,,CABACWriter,isp_mode,CABACWriter::isp_mode(CodingUnit const&)
116,0.14,467.14,0.74,279255008.0,0.0,0.0,,CS,isDualITree,CS::isDualITree(CodingStructure const&)
117,0.14,467.86,0.72,23792683.0,0.0,0.0,,IntraSearch,xEncIntraHeader,"IntraSearch::xEncIntraHeader(CodingStructure&, Partitioner&, bool const&, bool const&, int)"
118,0.14,468.57,0.71,39247171.0,0.0,0.0,,QpParam,QpParam,"QpParam::QpParam(TransformUnit const&, ComponentID const&, int, bool)"
119,0.13,469.27,0.7,58066510.0,0.0,0.0,,RdCost,xGetHADs,RdCost::xGetHADs(DistParam const&)
120,0.13,469.95,0.68,11001389.0,0.0,0.0,,RdCost,xGetSSE8,RdCost::xGetSSE8(DistParam const&)
121,0.13,470.62,0.67,52275462.0,0.0,0.0,,IntraSearch,xFracModeBitsIntra,"IntraSearch::xFracModeBitsIntra(PredictionUnit&, unsigned int const&, ChannelType const&)"
122,0.13,471.29,0.67,113200630.0,0.0,0.0,,CodingStructure,getResiBuf,CodingStructure::getResiBuf(CompArea const&)
123,0.13,471.96,0.67,23792683.0,0.0,0.0,,IntraSearch,xGetIntraFracBitsQT,"IntraSearch::xGetIntraFracBitsQT(CodingStructure&, Partitioner&, bool const&, bool const&, int, PartSplit, CUCtx*)"
124,0.12,472.6,0.64,1083969.0,0.0,0.0,,EncCu,xCompressCU,"EncCu::xCompressCU(CodingStructure*&, CodingStructure*&, Partitioner&, double)"
